k Per;3.092337;+;56.705717;0;4.77;-
53 Ari;3.123798;+;17.879992;0;6.13;-
54 Ari;3.139197;+;18.795053;0;6.24;-
iot Per;3.151117;+;49.613283;0;4.05;-
kap Per;3.158271;+;44.857542;0;3.79;Misam
55 Ari;3.160206;+;29.077086;0;5.74;-
ome Per;3.188161;+;39.611589;0;4.61;Gorgonea Quarta
del Ari;3.193824;+;19.726675;0;4.35;Botein
alf For;3.201193;-;28.989006;0;3.8;-
56 Ari;3.203957;+;27.256969;0;5.78;-
EL Cet;3.207324;+;6.660881;0;5.55;-
94 Cet;3.212899;-;1.196103;0;5.07;-
zet Ari;3.24836;+;21.04445;0;4.87;-
zet Eri;3.263896;-;8.819733;0;4.8;Zibal
iot Hyi;3.266018;-;77.38845;0;5.51;-
14 Eri;3.276601;-;9.154639;0;6.14;-
zet01 Ret;3.296156;-;62.575344;0;5.53;-
30 Per;3.296487;+;44.025025;0;5.49;-
zet02 Ret;3.30312;-;62.507858;0;5.24;-
15 Eri;3.30614;-;22.511114;0;4.86;-
95 Cet;3.30623;+;0;0;5.62;-
29 Per;3.310484;+;50.222172;0;5.16;-
31 Per;3.318788;+;50.094964;0;5.05;-
kap01 Cet;3.322694;+;3.370194;0;4.84;-
tau04 Eri;3.325278;-;21.757864;0;3.7;-
e Eri;3.332125;-;43.069794;0;4.26;-
59 Ari;3.332166;+;27.071136;0;5.91;-
60 Ari;3.340438;+;25.66275;0;6.14;-
kap02 Cet;3.35189;+;3.675625;0;5.7;-
tau01 Ari;3.353785;+;21.147081;0;5.27;-
l Per;3.357377;+;43.329653;0;4.96;-
62 Ari;3.369971;+;27.60755;0;5.55;-
63 Ari;3.379234;+;20.742067;0;5.1;-
64 Ari;3.405132;+;24.724069;0;5.5;-
65 Ari;3.407255;+;20.803489;0;6.07;-
omi Tau;3.413555;+;9.028878;0;3.61;-
chi01 For;3.432178;-;35.920886;0;6.39;-
ksi Tau;3.452812;+;9.732769;0;3.73;-
chi02 For;3.459284;-;35.681325;0;5.71;-
chi03 For;3.469869;-;35.853422;0;6.49;-
66 Ari;3.474047;+;22.804025;0;6.03;-
34 Per;3.489473;+;49.508761;0;4.67;-
kap Ret;3.489632;-;62.937531;0;4.71;-
s Tau;3.506797;+;11.336442;0;5.14;-
sig Per;3.509579;+;47.995214;0;4.36;-
v Eri;3.510292;-;5.075161;0;4.74;-
f Tau;3.514549;+;12.936678;0;4.14;-
36 Per;3.540628;+;46.056864;0;5.3;-
t Tau;3.543319;+;9.373442;0;5.76;-
eps Eri;3.548846;-;9.458264;0;3.72;-
tau05 Eri;3.563125;-;21.632819;0;4.26;-
7 Tau;3.574063;+;24.464503;0;5.95;-
20 Eri;3.604836;-;17.467067;0;5.24;-
psi Per;3.608161;+;48.192631;0;4.32;-
10 Tau;3.614551;+;0;0;4.29;-
9 Tau;3.616118;+;23.211072;0;6.72;-
y Eri;3.618242;-;40.274572;0;4.57;-
tau For;3.646576;-;27.943053;0;6.01;-
21 Eri;3.65031;-;5.626206;0;5.97;-
12 Tau;3.664201;+;3.056861;0;5.55;-
22 Eri;3.677315;-;5.210708;0;5.53;-
11 Tau;3.679531;+;25.329492;0;6.11;-
del For;3.704139;-;31.938361;0;4.99;-
13 Tau;3.705263;+;19.700256;0;5.68;-
o Per;3.706291;+;33.965028;0;4.97;-
h Eri;3.713904;-;37.313522;0;4.59;-
del Per;3.715412;+;47.787647;0;3.01;-
del Eri;3.720806;-;9.763419;0;3.52;Rana
14 Tau;3.729781;+;19.665033;0;6.13;-
bet Ret;3.736661;-;64.806894;0;3.84;-
omi Per;3.738648;+;32.288242;0;3.84;Atik
24 Eri;3.741808;-;1.163092;0;5.24;-
16 Tau;3.746726;+;24.289472;0;5.45;Celaeno
